Bitlink,Custom Bitlink,Date Created,Title,Long URL,Clicks for all time,Status
https://bit.ly/3JsWx7Z,,12/28/2021,A35,https://eu.usatoday.com/story/news/factcheck/2020/04/24/fact-check-medicare-hospitals-paid-more-covid-19-patients-coronavirus/3000638001/,0,
https://bit.ly/3Hh8eNg,,12/28/2021,A24,https://time.com/collection/great-reset/,0,
https://bit.ly/3EBIyZO,,12/28/2021,A12,https://en.wikipedia.org/wiki/Confessions_of_an_Economic_Hit_Man,0,
https://cnb.cx/32vWVC8,,12/28/2021,A26,https://www.cnbc.com/2021/11/11/predictions-for-future-of-money-cbdcs-stablecoins-cryptocurrency.html,0,
https://bit.ly/317m8Cj,,12/28/2021,A31,https://www.gov.uk/government/news/additional-54-billion-for-nhs-covid-19-response-over-next-six-months,1,
https://bit.ly/3euIUa3,,12/28/2021,A16,https://ipi.media/the-covid-19-crisis-highlights-greeces-media-problem/,0,
https://bloom.bg/3qpWBg0,,12/28/2021,A10,https://www.bloomberg.com/news/articles/2021-06-08/haiti-is-the-only-country-in-western-hemisphere-without-vaccines,0,
https://bit.ly/3EBIAko,,12/28/2021,A17,https://www.ekathimerini.com/news/254417/govt-makes-public-list-of-media-firms-paid-to-promote-covid-19-health-measures/,0,
https://bloom.bg/317lYuH,,12/28/2021,A21,https://www.bloomberg.com/graphics/2021-coronavirus-global-debt/,0,
https://bit.ly/3ewG6tm,,12/28/2021,A28,https://www.gov.uk/guidance/financial-support-for-voluntary-community-and-social-enterprise-vcse-organisations-to-respond-to-coronavirus-covid-19,1,
https://bit.ly/345RQAY,,12/28/2021,A39,https://www.assurityconsulting.co.uk/services/covid-19-risk-management,0,
https://bit.ly/3FRm9JP,,12/28/2021,A42,https://www.acas.org.uk/working-safely-coronavirus/getting-the-coronavirus-vaccine-for-work,0,
https://bbc.in/3z8ZlSV,,12/28/2021,A11,https://www.bbc.co.uk/news/world-latin-america-57762246,0,
https://bit.ly/3JpMroj,,12/28/2021,A40,https://www.fsb.org.uk/resources-page/how-to-reassure-customers-your-small-business-is-covid-19-secure.html,0,
https://bit.ly/3z4NXHM,,12/28/2021,A19,https://europeanjournalism.fund/news/emergency-fund-recipients-wave1-covid19,0,
https://bit.ly/3sH270Q,,12/28/2021,A4,https://qz.com/africa/2001988/why-kenyans-are-refusing-the-imfs-billions/,1,
https://bit.ly/3qw42m1,,12/28/2021,A6,https://greatgameindia.com/belarus-world-bank-coronavirus-conditions/,0,
https://bit.ly/32yCyEr,,12/28/2021,A22,https://medium.datadriveninvestor.com/how-central-banks-create-money-out-from-the-thin-air-e01453d81ab,0,
https://on.ft.com/3z5lvWl,,12/28/2021,A23,https://www.ft.com/content/39c53b9f-f443-4dde-9cdb-07e8999ec783,0,
https://bit.ly/3pAgQIJ,,12/28/2021,A20,https://gijn.org/grants-to-journalists-during-the-covid-19-pandemic/,0,
https://cnet.co/3sGoZgE,,12/28/2021,A49,https://www.cnet.com/health/free-beer-doughnuts-and-1-million-dollars-incentives-to-get-your-covid-19-vaccine/,0,
https://bit.ly/3FASwfx,,12/28/2021,A36,https://www.factcheck.org/2020/04/hospital-payments-and-the-covid-19-death-count/,0,
https://bit.ly/3HznZiX,,12/28/2021,A18,https://www.facebook.com/journalismproject/programs/grants/us-covid-relief-grant-impact,0,
https://bit.ly/3qtNhIk,,12/28/2021,A48,https://www.gov.uk/government/publications/test-and-trace-support-payment-scheme-claiming-financial-support/claiming-financial-support-under-the-test-and-trace-support-payment-scheme,1,
https://cnb.cx/3ey9zmA,,12/28/2021,A44,https://www.cnbc.com/2020/05/31/new-jobs-created-as-a-result-of-the-coronavirus-pandemic.html,0,
https://bit.ly/3ewwpeh,,12/28/2021,A38,https://www.pulsetoday.co.uk/news/workload/number-of-registered-patients-per-gp-rises-to-almost-2100/,0,
https://bit.ly/32xZQKr,,12/28/2021,A43,https://www.wired.co.uk/article/uk-furlough-scheme-job-protection,0,
https://bit.ly/3EAsTdt,,12/28/2021,A37,https://www.hsj.co.uk/primary-care/vax-fee-to-general-practice-increased-as-government-sets-huge-target/7031439.article,0,
https://bit.ly/33SIY1l,,12/28/2021,A34,https://www.theguardian.com/world/2020/sep/30/uk-spent-569m-on-20900-ventilators-for-covid-care-but-most-remain-unused,0,
https://bit.ly/3sH27xS,,12/28/2021,A29,https://www.hsj.co.uk/finance-and-efficiency/5bn-contingency-fund-announced-for-coronavirus-outbreak/7027106.article,0,
https://bit.ly/3mB7tqf,,12/28/2021,A30,https://www.hsj.co.uk/coronavirus/nhs-to-receive-66bn-covid-19-funding/7027395.article,0,
